source_label	method	source_kegg	source_pdf_page	source_text
5-Formyl-THF	IPR	C03479	24	5-Formyl-THF                  IPR    ko00670|One carbon pool by folate                    C03479
5-HIAA	IPR	C05635	24	5-HIAA                        IPR    ko00380|Tryptophan metabolism                        C05635   1   1
5-Methyl-THF	IPR	C00440	24	5-Methyl-THF                  IPR    ko00670|One carbon pool by folate                    C00440
acetoacetate	IPR	C00164	24	acetoacetate                  IPR    ko00072|Synthesis and degradation of ketone bodies   C00164   1   1
acetyl-CoA	IPR	C00024	24	acetyl-CoA                    IPR    ko00020|Citrate cycle (TCA cycle)                    C00024
aconitate	IPR	C00417	24	aconitate                     IPR    ko00020|Citrate cycle (TCA cycle)                    C00417   1   1
adenine	IPR	C00147	24	adenine                       IPR    ko00230|Purine metabolism                            C00147   1   1
adenosine	IPR	C00212	24	adenosine                     IPR    ko00230|Purine metabolism                            C00212
adenylosuccinate	IPR	C03794	24	adenylosuccinate              IPR    ko00230|Purine metabolism                            C03794
adipate	IPR	C06104	24	adipate                       IPR    ko00930|Caprolactam degradation                      C06104   1   1
ADP	IPR	C00008	24	ADP                           IPR    ko00190|Oxidative phosphorylation                    C00008
alpha-glycerophosphate	IPR	C00093	25	alpha-glycerophosphate                  IPR      ko00561|Glycerolipid metabolism                         C00093        1   1
alpha-ketoglutarate	IPR	C00026	25	alpha-ketoglutarate                     IPR      ko00020|Citrate cycle (TCA cycle)                       C00026        1
AMP	IPR	C00020	25	AMP                                     IPR      ko00230|Purine metabolism                               C00020        1   1
ascorbate	IPR	C00072	25	ascorbate                               IPR      ko00053|Ascorbate and aldarate metabolism               C00072        1   1
aspirin	IPR	C01405	25	aspirin                                 IPR      NA                                                      C01405
asymmetric dimethylarginine	IPR	C03626	25	asymmetric dimethylarginine             IPR      NA                                                      C03626
ATP	IPR	C00002	25	ATP                                     IPR      ko00190|Oxidative phosphorylation                       C00002
bilirubin	IPR	C00486	25	bilirubin                               IPR      ko00860|Porphyrin and chlorophyll metabolism            C00486        1   1
biotin	IPR	C00120	25	biotin                                  IPR      ko00780|Biotin metabolism                               C00120        1
cAMP	IPR	C00575	25	cAMP                                    IPR      ko00230|Purine metabolism                               C00575
CDP	IPR	C00112	25	CDP                                     IPR      ko00240|Pyrimidine metabolism                           C00112
cGMP	IPR	C00942	25	cGMP                                    IPR      ko00230|Purine metabolism                               C00942
chenodeoxycholate/deoxycholate	IPR	C02528/C04483	25	chenodeoxycholate/deoxycholate          IPR      ko00120|Primary bile acid biosynthesis              C02528/C04483     1
citrate	IPR	C00158	25	citrate                                 IPR      ko00020|Citrate cycle (TCA cycle)                       C00158        1   1
citrate/isocitrate	IPR	C00158/C00311	25	citrate/isocitrate                      IPR      ko00020|Citrate cycle (TCA cycle)                   C00158/C00311     1   1
citrulline	IPR	C00327	25	citrulline                              IPR      ko00330|Arginine and proline metabolism                 C00327
CMP	IPR	C00055	25	CMP                                     IPR      ko00240|Pyrimidine metabolism                           C00055        1   1
