scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	CNS:U251	magnitude_g0.50	magnitude_g0.80	0.05684871861296704	0.022773447952752063	111	8	4.102073546321866	0.6952331270626022
half_serum	CNS:U251	magnitude_g0.50	magnitude_g1.00	0.04465944313847983	0.01474649518081607	136	8	1.0782650891727639	0.25314790863161774
half_serum	CNS:U251	magnitude_g0.50	magnitude_g1.25	0.2227094798559283	0.15972391409670114	146	8	6.794551524844976	3.828935919953473
half_serum	CNS:U251	magnitude_g0.50	magnitude_g2.00	0.24606601811451026	0.18450084228940503	149	9	7.4967999521022755	3.974053170362259
half_serum	CNS:U251	magnitude_g0.50	ordinal	0.6444801712943499	0.4667949461978456	193	10	17.984498983534998	10.634296731960067
half_serum	CNS:U251	magnitude_g0.80	magnitude_g1.00	0.05721740638540851	0.014645014246410553	115	6	4.650826377097744	0.45916919728508
half_serum	CNS:U251	magnitude_g0.80	magnitude_g1.25	0.20748896638747347	0.1498452579634043	138	8	8.773946568652793	3.1337027928908707
half_serum	CNS:U251	magnitude_g0.80	magnitude_g2.00	0.23061817955073127	0.17483978993633748	139	9	8.773946568652793	3.278820043299657
half_serum	CNS:U251	magnitude_g0.80	ordinal	0.6616949395624941	0.47260694338645354	170	7	18.07497666246715	11.329529859022669
half_serum	CNS:U251	magnitude_g1.00	magnitude_g1.25	0.20028383930040317	0.15234734622886628	110	8	6.794551043565183	3.5928719901759507
half_serum	CNS:U251	magnitude_g1.00	magnitude_g2.00	0.2283613277819746	0.17719762284884485	117	9	7.4967994708224825	3.737989240584737
half_serum	CNS:U251	magnitude_g1.00	ordinal	0.6488875454360146	0.4680741430724765	181	8	18.144142439847624	10.870360661737589
half_serum	CNS:U251	magnitude_g1.25	magnitude_g2.00	0.03446501706458497	0.02622773384953238	99	9	2.6947868295766675	0.45563238220380686
half_serum	CNS:U251	magnitude_g1.25	ordinal	0.6597567362124036	0.5462403094771224	207	10	14.49195535718522	14.46323265191354
half_serum	CNS:U251	magnitude_g2.00	ordinal	0.6611935847100264	0.534631725608194	204	10	14.637072607594005	14.608349902322326
half_serum	CO:COLO 205	magnitude_g0.50	magnitude_g0.80	0.06323923183124834	0.022563801887102993	121	8	3.1036524827096885	0.831315548099326
half_serum	CO:COLO 205	magnitude_g0.50	magnitude_g1.00	0.05987489791549806	0.01017653998915333	128	9	2.4548993053717902	0.3011261804834265
half_serum	CO:COLO 205	magnitude_g0.50	magnitude_g1.25	0.17183621252408507	0.15361233555413578	130	10	3.9425626314090856	3.9425626314090856
half_serum	CO:COLO 205	magnitude_g0.50	magnitude_g2.00	0.3182372056555587	0.255549107371274	150	11	8.000242011432542	8.00024201143254
half_serum	CO:COLO 205	magnitude_g0.50	ordinal	0.5439955201150806	0.30287843021816907	207	10	11.218042952606918	6.101988206671351
half_serum	CO:COLO 205	magnitude_g0.80	magnitude_g1.00	0.06552559720391	0.028202220998024014	76	6	1.8336620239794943	0.8313155480992123
half_serum	CO:COLO 205	magnitude_g0.80	magnitude_g1.25	0.11645497284077917	0.13188728023726248	80	7	3.952740611648329	3.1112470833097596
half_serum	CO:COLO 205	magnitude_g0.80	magnitude_g2.00	0.31042579427946904	0.25263677910193355	107	8	7.168926463333216	7.168926463333214
half_serum	CO:COLO 205	magnitude_g0.80	ordinal	0.538880381359331	0.31315510052596085	204	10	11.218042952606918	6.933303754770677
half_serum	CO:COLO 205	magnitude_g1.00	magnitude_g1.25	0.16000174166609749	0.15073984331855206	82	7	4.052981419900306	3.942562631408972
half_serum	CO:COLO 205	magnitude_g1.00	magnitude_g2.00	0.3065255617602146	0.24472142142912864	95	8	8.000242011432428	8.000242011432427
half_serum	CO:COLO 205	magnitude_g1.00	ordinal	0.5503335575768515	0.30654844060998987	208	11	11.809129444867583	6.101988206671464
